"rank","profile","name","url","state","revenue","growth","industry","workers","founded","yrs_on_list","previous_workers","metro","city"
39,"https://www.inc.com/profile/moonglow-jewelry","Moonglow Jewelry","moonglow.com","FL",7.5,331.4634,"Retail",17,2012,2,3,"Miami","Miami"
40,"https://www.inc.com/profile/twelve-consulting-group","Twelve Consulting Group","twelvecg.com","MN",7.7,331.2035,"IT Management",44,2013,1,8,"Minneapolis","Minneapolis"
41,"https://www.inc.com/profile/iarch-solutions","iArch Solutions","iarchsolutions.com","CT",2.1,331.1737,"IT Management",7,2013,1,2,"Bridgeport-Stamford-Norwalk, CT","Monroe"
42,"https://www.inc.com/profile/seawater-seafood-company","Seawater Seafood Company","seawaterseafoodco.com","OR",6.8,330.7916,"Food & Beverage",6,2012,1,4,NA,"NEWPORT"
43,"https://www.inc.com/profile/vert-digital","Vert Digital","vertdigital.com","GA",8.5,330.3058,"Advertising & Marketing",30,2009,5,15,"Atlanta","Atlanta"
44,"https://www.inc.com/profile/fit-body-boot-camp","Fit Body Boot Camp","fitbodybootcamp.com","CA",8.2,329.9085,"Health",43,2011,4,15,"Los Angeles","Chino Hills"
45,"https://www.inc.com/profile/modern-message","Modern Message","http://modernmessage.com","TX",5.8,328.779,"Software",55,2012,3,11,"Dallas","Dallas"
46,"https://www.inc.com/profile/crimson-agility","Crimson Agility","crimsonagility.com","AZ",3.5,328.3343,"IT System Development",25,2014,1,6,"Phoenix","Mesa"
47,"https://www.inc.com/profile/keystone-funding","Keystone Funding","keystonefunding.com","DE",5.3,328.3131,"Real Estate",36,1996,1,12,NA,"Dover"
48,"https://www.inc.com/profile/credit-service-intl","Credit Service Intl.","creditserviceintl.com","WI",2.1,327.4785,"Health",25,1962,1,3,"Minneapolis","Hudson"
49,"https://www.inc.com/profile/green-bay-remodeling","Green Bay Remodeling","http://greenbayremodeling.com","CA",7.6,326.8112,"Construction",20,2012,2,2,"San Francisco","concord"
50,"https://www.inc.com/profile/nebulaworks","Nebulaworks","nebulaworks.com","CA",2.4,326.7477,"Software",14,2014,1,5,"Los Angeles","Irvine"
51,"https://www.inc.com/profile/bighorn-design-studio","Bighorn Design Studio","bighorndesign.com","WY",3.1,324.9304,"Consumer Products & Services",46,2015,1,7,NA,"Sheridan"
52,"https://www.inc.com/profile/the-social-lights","The Social Lights","thesociallights.com","MN",2.2,324.3616,"Advertising & Marketing",25,2011,1,6,"Minneapolis","Minneapolis"
53,"https://www.inc.com/profile/doceo-office-solutions","Doceo Office Solutions","mydoceo.com","PA",8.5,324.3494,"Business Products & Services",42,2004,2,19,NA,"York"
54,"https://www.inc.com/profile/disability-planners","Disability Planners","displanner.com","UT",8.8,323.7072,"Insurance",60,2013,3,25,"Salt Lake City","Murray"
55,"https://www.inc.com/profile/blue-label-labs","Blue Label Labs","bluelabellabs.com","WA",4.8,323.0921,"Software",15,2011,3,3,"New York City","Redmond"
56,"https://www.inc.com/profile/alderson-loop","Alderson Loop","aldersonloop.com","MD",5.7,321.1734,"Business Products & Services",57,2013,2,14,"Baltimore","Sykesville"
57,"https://www.inc.com/profile/legacy-toys","Legacy Toys","legacytoys.com","MN",2,321.1474,"Retail",35,2012,1,2,NA,"Ely"
58,"https://www.inc.com/profile/outsource-consultants","Outsource Consultants","outsource-consultants.com","MN",3.2,320.8885,"Business Products & Services",12,2013,1,5,"Minneapolis","Plymouth"
